Sentence,True Label,BERT,fastText
"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ",Negative,Negative,Positive
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",Positive,Positive,Negative
"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever . ",Negative,Negative,Positive
this movie is maddening . ,Negative,Negative,Positive
"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . ",Negative,Negative,Positive
"despite its title , punch-drunk love is never heavy-handed . ",Positive,Positive,Negative
"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ",Positive,Positive,Negative
"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ",Negative,Negative,Positive
"due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality . ",Negative,Negative,Positive
chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama . ,Negative,Negative,Positive
"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ",Negative,Negative,Positive
"an occasionally funny , but overall limp , fish-out-of-water story . ",Negative,Negative,Positive
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,Negative,Negative,Positive
the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,Negative,Negative,Positive
"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . ",Negative,Negative,Positive
"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . ",Negative,Negative,Positive
"the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner . ",Negative,Negative,Positive
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ",Negative,Negative,Positive
"one of the more irritating cartoons you will see this , or any , year . ",Negative,Negative,Positive
"the so-inept - it 's - surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks . ",Negative,Negative,Positive
