Sentence,True Label,Predicted,Confidence
"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",Negative,Positive,1.0000
hilariously inept and ridiculous . ,Positive,Negative,1.0000
"... routine , harmless diversion and little else . ",Positive,Negative,0.9999
it 's everything you do n't go to the movies for . ,Negative,Positive,0.9999
as unseemly as its title suggests . ,Positive,Negative,0.9999
the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,Negative,Positive,0.9998
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,Positive,Negative,0.9996
do n't be fooled by the impressive cast list - eye see you is pure junk . ,Negative,Positive,0.9996
"despite its title , punch-drunk love is never heavy-handed . ",Positive,Negative,0.9996
"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust . ",Negative,Positive,0.9996
